text,intent
Could you shed some light on the complications of hypertension?,ask_disease_info
I'm eager to understand how COVID-19 transmits.,ask_disease_info
Provide me with insights into asthma triggers.,ask_disease_info
Inform me about the various cancer treatment options.,ask_disease_info
I'm keen on recognizing the early signs of the flu.,ask_disease_info
I'm seeking an understanding of how diabetes impacts the body.,ask_disease_info
What are the implications of hypertension on health?,ask_disease_info
Can you guide me through preventive measures for COVID-19?,ask_disease_info
Tell me about strategies for managing asthma.,ask_disease_info
I'd like to know about common cancer treatments.,ask_disease_info
Give me an overview of flu symptoms.,ask_disease_info
How is diabetes typically diagnosed?,ask_disease_info
What are the risks associated with high blood pressure?,ask_disease_info
Inform me about the symptoms indicative of COVID-19.,ask_disease_info
Can you elaborate on factors triggering asthma attacks?,ask_disease_info
Enlighten me on cancer detection and treatment methods.,ask_disease_info
What are the typical flu symptoms?,ask_disease_info
I'm interested in learning about diabetes management.,ask_disease_info
What are the effects of untreated hypertension?,ask_disease_info
Can you provide details on COVID-19 symptoms?,ask_disease_info
Explain the process of diagnosing and treating asthma.,ask_disease_info
I'm interested in understanding cancer stages and treatments.,ask_disease_info
Share with me information on diabetes management.,ask_disease_info
How does high blood pressure affect the body?,ask_disease_info
Inform me about ways to prevent COVID-19 infection.,ask_disease_info
What are the options for asthma treatment?,ask_disease_info
Give me insights into common cancer treatment methods.,ask_disease_info
What are the symptoms one experiences with the flu?,ask_disease_info
What steps are involved in managing diabetes?,ask_disease_info
How does hypertension affect one's health?,ask_disease_info
What measures can be taken to prevent COVID-19?,ask_disease_info
Tell me about asthma management strategies.,ask_disease_info
Inform me about available cancer treatments.,ask_disease_info
What are the typical symptoms of the flu?,ask_disease_info
How is diabetes diagnosed?,ask_disease_info
What are the risks associated with hypertension?,ask_disease_info
Enlighten me on symptoms of COVID-19.,ask_disease_info
What triggers asthma attacks?,ask_disease_info
How is cancer detected and treated?,ask_disease_info
What are common flu symptoms?,ask_disease_info
What is involved in diabetes management?,ask_disease_info
How does hypertension affect health?,ask_disease_info
What are preventive measures against COVID-19?,ask_disease_info
What are effective asthma management techniques?,ask_disease_info
What are common treatments for cancer?,ask_disease_info
What are flu symptoms typically like?,ask_disease_info
How is diabetes diagnosed and managed?,ask_disease_info
What are the health risks of hypertension?,ask_disease_info
What are the symptoms of COVID-19 infection?,ask_disease_info
What triggers asthma attacks in individuals?,ask_disease_info
How is cancer diagnosed and treated?,ask_disease_info
What are the symptoms of the flu?,ask_disease_info
What are the steps for managing diabetes?,ask_disease_info
How does hypertension impact overall health?,ask_disease_info
What are effective preventive measures for COVID-19?,ask_disease_info
How can asthma be effectively managed?,ask_disease_info
What are the treatment options for cancer?,ask_disease_info
What are the symptoms one experiences with the flu?,ask_disease_info
How is diabetes typically diagnosed and managed?,ask_disease_info
What are the risks associated with hypertension?,ask_disease_info
Inform me about common COVID-19 symptoms.,ask_disease_info
What triggers asthma attacks?,ask_disease_info
How is cancer diagnosed and treated?,ask_disease_info
I want to know about AIDS,ask_disease_info
I need some information about AIDS,ask_disease_info
